./text_en/AdviceText.utf.txt,,達成率,5.881%
ADV_TEXT_ST_012,Tapping the flag selects the settlement's garrison. Tap the name tab to open the management screen for the settlement.,フラグをタップすると決済の駐屯地を選択します。決済のために管理画面を開くには、名前のタブをタップします。,入植地の旗をクリックすると駐屯部隊を選択，名前タブをクリックすると入植地の管理画面を開きます．
ADV_TITLE_ST_013,Arrange Units,ユニットの手配,ユニットの陣形
ADV_TEXT_ST_013,You can change the arrangement of units in a stack by selecting a formation for them using the button underneath the unit tiles. This is usually only important when a battle is likely.,あなたは、ユニットタイル下のボタンを使用してそれらの形成を選択することにより、スタック内のユニットの配置を変更することができます。これは通常の戦いの可能性がある場合にのみ重要です。,スタックのユニットの陣形を変更するには，ユニットタイル下のボタンを使用します．陣形は戦闘の際に重要です．
ADV_TITLE_ST_014,Arrange Units,ユニットの手配,ユニットの陣形
ADV_TEXT_ST_014,The colored lines above the unit tiles indicate the lines in the formation. You can drag a unit tile to move into another line.,ユニットタイル上記着色ラインは形成のラインを示します。あなたは別の行に移動するユニットタイルをドラッグすることができます。,
ADV_TITLE_NV_001,Embarking on Ships,船に着手,
ADV_TEXT_NV_001,"To embark onto ships, a stack must be adjacent to the stack containing the ships.",船に乗り出すために、スタックは、船を含むスタックに隣接している必要があります。,
ADV_TITLE_NV_002,Embarking on Ships,船に着手,
ADV_TEXT_NV_002,"Your stack cannot embark because the ships do not have enough capacity to load all the units. Generally one ship unit can carry one land unit, although some larger ships can carry more.",船は、すべてのユニットをロードするのに十分な能力を持っていないので、あなたのスタックが乗船することはできません。一部の大型船が多くを運ぶことができるが、一般1つの船ユニットは、1つの土地の単位を運ぶことができます。,
ADV_TITLE_NV_003,Embarking on Ships,船に着手,
ADV_TEXT_NV_003,"One or more of your units cannot be loaded onto these ships. Only certain larger ship types can carry cavalry, chariot or artillery units.",あなたのユニットのうちの1つ以上はこれらの船にロードすることはできません。のみ、特定の大きな船種は騎兵、戦車や大砲ユニットを運ぶことができます。,
ADV_TITLE_NV_004,Disembarking,下船,
ADV_TEXT_NV_004,"Units cannot disembark next to ships or settlements belonging to other players, or into impassable terrain, or onto hexes that are already occupied by too many units.",ユニットは、または通行不能な地形に、またはすでにあまりにも多くのユニットで占められているヘクスに他のプレイヤーに属する船や集落の隣に下船することはできません。,
ADV_TITLE_NV_005,Naval Move Restrictions,海軍の移動の制限,
ADV_TEXT_NV_005,"There are various restrictions on where ships can move. River ships can't move onto sea or ocean, large sea going ships can't move into rivers, and no ships can move onto unnavigable rivers. Unnavigable rivers have rocks at various points to show that you can't sail along them.",船が移動できる場所に様々な制限があります。川の船が海や海の上に移動することができない、大きな海行く船が川の中に移動することはできませんし、何に発送しますunnavigable川の上に移動することはできません。 Unnavigable川は、あなたがそれらに沿って航行することができないことを示すために、さまざまなポイントで石を持っています。,
ADV_TITLE_NV_006,Embarked Units,乗り出し単位,
ADV_TEXT_NV_006,"You have embarked some land units. onto naval transports. They will now move with the ships until disembarked. To disembark, simply move adjacent to land, then order the stack to a land hex. The land units will immediately disembark next to the ships with an order to move to the target hex.",あなたは、いくつかの陸上ユニットを乗り出してきました。海軍の輸送へ。下船するまで、彼らは今、船で移動します。上陸するために、単にランドヘクスにスタックを注文し、その後、土地に隣接して移動します。陸上ユニットは、直ちに目標ヘクスに移動するために付属の隣に下船します。,
ADV_TITLE_NV_007,Embarked Units,乗り出し単位,
ADV_TEXT_NV_007,You can rearrange which units are carried on which ship by dragging the unit's tile onto the tile of the ship you want to carry it. The chain link shows which units are in which ships.,あなたは、ユニットは、あなたがそれを運ぶしたい船のタイルにユニットのタイルをドラッグしている船に搭載されている再配置することができます。ユニットはその船にあるチェーンリンクを示しています。,
ADV_TITLE_NV_008,Embarked Units,乗り出し単位,
ADV_TEXT_NV_008,"Embarked land units supplement a ship's crew, increasing the number of archers available. This makes the ship more effective in combat.",陸上ユニットが使用可能な射手の数を増やし、船の乗組員を補完乗り出しました。これは戦闘で船がより効果的になります。,
ADV_TITLE_HS_001,NA,NA,NA
ADV_TEXT_HS_001,NA,NA,NA
ADV_TITLE_HS_002,NA,NA,NA
ADV_TEXT_HS_002,NA,NA,NA
ADV_TITLE_HS_003,NA,NA,NA
ADV_TEXT_HS_003,NA,NA,NA
ADV_TITLE_HS_004,NA,NA,NA
ADV_TEXT_HS_004,NA,NA,NA
ADV_TITLE_HS_005,NA,NA,NA
ADV_TEXT_HS_005,NA,NA,NA
ADV_TITLE_UI_001,Hex Grid,六角グリッド,グリッド
ADV_TEXT_UI_001,Press Alt + G to turn the hex grid on or off.,Altキー+ Gをオンまたはオフに六角グリッドをオンにします。,Alt+G でグリッドのオン/オフを切り替えます．
ADV_TITLE_SET_001,Need Farms to Grow,成長するために農場を必要とします,発展には農場が必要
ADV_TEXT_SET_001,"Build more farms to increase the food supply. This will lead to the population growing, providing more tax, and increasing your power.",食糧供給を増やすために、よりファームを構築します。これは、人口、成長しているより多くの税を提供し、あなたの力を高めることにつながります。,農場を建設し，食糧供給を増やしましょう．農場は人口を増大させるとともに多くの税収をもたらし，あなたの力を高めます．
ADV_TITLE_SET_002,Repair Looted Farms,略奪農場を修復,略奪された農地を修復
ADV_TEXT_SET_002,"Some of your farms have been destroyed, so this settlement is not producing enough food now. You need to rebuild the farms.",あなたの農場の一部が破壊されているので、この決済は現在十分な食料を生産されていません。あなたは農場を再構築する必要があります。,農地の一部が破壊されており，この入植地は十分な食料を生産できていません．農地を再建設する必要があります．
ADV_TITLE_SET_003,Build A Mine,鉱山を構築,鉱山を建設
ADV_TEXT_SET_003,"There are valuable minerals near this settlement that you can mine. Mines are expensive to construct, but are a good investment over the long term. Use the ""Buildings"" button on the Land Improvements screen to show possible mine locations.",あなたが採掘することができます。この決済近くの貴重な鉱物があります。鉱山は、構築するために高価ですが、長期的に良い投資です。可能な鉱山の場所を示すために、土地改良画面上の「建物」ボタンを使用してください。,
ADV_TITLE_SET_004,High Unrest,高不安,
ADV_TEXT_SET_004,"The level of peasant unrest here is too high, and may lead to disruption of tax collection, recruitment, and eventually even outright revolt. Click or tap the peasant unrest icon a the top of the screen to see what is causing the problem.",ここでは農民の不安のレベルが高すぎると、徴税、採用、そして最終的にさえあからさまな反乱の混乱につながる可能性があります。問題を引き起こしているかを確認するには、画面の最上部A農民の不安のアイコンをクリックするかタップします。,
ADV_TITLE_SET_005,Food Shortage,食糧不足,食糧不足
ADV_TEXT_SET_005,"There is a shortage of food here, leading to high peasant unrest. Build more farms to alleviate this.",食糧の不足が高い農民の不安につながる、ここにあります。これを軽減するために、よりファームを構築します。,
ADV_TITLE_SET_006,Unrest and Overcrowding,不安と過密,
ADV_TEXT_SET_006,There is unrest here due to overcrowding. Upgrade the settlement to alleviate this.,不安が伴う過密にここにあります。これを軽減するために決済をアップグレードします。,
ADV_TITLE_SET_007,Overworked Peasants,過労農民,農民の過労
ADV_TEXT_SET_007,There is high unrest here due to overwork. Stop all land improvements and construction for a few turns to give the peasants a rest.,高不安が過労にここにあります。農民に休息を与えるために数ターンのためのすべての土地改良法と建設を停止します。,
ADV_TITLE_SET_008,Bandits Show Unrest,バンディッツは不安を表示します,
ADV_TEXT_SET_008,"When bandits appear near your settlement, that is a sign that there is high unrest amongst the peasants, and desperation is forcing men into banditry.",山賊はあなたの和解の近くに表示されたら、それは農民の間で高い不安があるというサインである、と絶望が強盗に男性を強制されます。,
ADV_TITLE_SET_009,Use A Governor,知事を使用してください,
ADV_TEXT_SET_009,"If a character with a high Ren(Virtue) rating is garrisoned in a settlement, he will reduce unrest considerably. This can be useful to prevent a revolt until you can fix the underlying cause of unrest.",ハイレン（美徳）の評価との文字が和解に駐屯している場合、彼はかなりの不安を軽減します。これは、あなたが不安の根本的な原因を修正することができますまで、反乱を防ぐのに役立ちます。,
ADV_TITLE_SET_010,High Noble Unrest,ハイノーブル不安,
ADV_TEXT_SET_010,"There is high noble unrest here due to your leader's lack of authority. This is due to having more settlements than your ""Authority"" rating. ",高い高貴な不安が原因権限のご指導の不足のためにここにあります。これは、あなたの「権威」の評価よりも多くの入植地を持つためです。,
ADV_TITLE_SET_011,Revolt Imminent,差し迫った反乱,
ADV_TEXT_SET_011,"A revolt is imminent here. In the short term, you can try to prevent it by moving in a character to act as a governor, and raising or moving more troops into the garrison or settlement's territory. However, militia, tribal or conscript troops will not suppress peasant unrest.",反乱はここに迫っています。短期的には、あなたは知事として機能する文字に移動し、駐屯地や決済の領土に多くの軍隊を上げたり移動することによって、それを防ぐために試すことができます。しかし、民兵、部族や徴兵軍は農民の不安を抑えることはありません。,
ADV_TITLE_SET_012,Building Construction,ビル建設,
ADV_TEXT_SET_012,"Use the ""Construction"" button at the top of the screen to show the buildings you can construct in the settlement.",あなたは和解に構築することができます建物を表示するには、画面上部の「建設」ボタンを使用してください。,
ADV_TITLE_SET_013,External Buildings,外部建物,
ADV_TEXT_SET_013,"The types of building you can construct outside the settlement depend on the location, and the technology you have unlocked. Be sure to check what's available from time to time by using the rightmost button on the land improvements screen.",あなたは決済外に構築することができます建物の種類は、場所に依存し、あなたがアンロックされている技術。土地改良法画面上の右端のボタンを使って、随時利用できるかどうか確認してください。,
ADV_TITLE_SET_014,Damaged Buildings,破損した建物,
ADV_TEXT_SET_014,Some buildings here are damaged and not functioning. They will repair automatically over time.,ここではいくつかの建物が損傷し、機能していません。彼らは、時間の経過とともに自動的に修復します。,
ADV_TITLE_Auth_001,Insufficient Authority,不十分な権限,
ADV_TEXT_Auth_001,Noble unrest here is high due to you having an  Authority rating lower than the number of settlements you control. Increase your Authority by using Edicts or technological advancements.,ここノーブル不安が原因あなたはあなたがコントロールする集落の数よりも少ない権限定格を持つに高いです。布告や技術の進歩を使用して権限を増やします。,
ADV_TITLE_Auth_002,Civil War Danger,南北戦争危険,
ADV_TEXT_Auth_002,"Noble unrest here is very high, which may lead to loss of tax revenue, disruption of recruitment, or outright civil war.",ここノーブル不安が税収、雇用の崩壊、あるいはあからさまな内戦の損失につながる可能性がある、非常に高いです。,
ADV_TITLE_Auth_003,Succession Crisis,継承の危機,
ADV_TEXT_Auth_003,"There is high noble unrest here due to your leader's low personal authority. This is due to his recent succession, and will improve with time. Until then, try to prevent a civil war.",高い高貴な不安が原因あなたのリーダーの低い個人的な権威にここにあります。これは彼の最近の承継によるものであり、時間とともに改善されます。それまでは、内戦を予防しよう。,
ADV_TITLE_NSET_001,Need More Settlements,その他の決済を必要とします,
ADV_TEXT_NSET_001,"Your power and success depends on the number of settlements you control. Don't forget to recruit settler units, and found more settlements.",あなたの力と成功は、あなたがコントロールする集落の数によって異なります。セトラユニットを募集することを忘れ、そしてより多くの集落を発見しないでください。,
ADV_TITLE_NSET_002,Settlements Too Close,近すぎる決済,
ADV_TEXT_NSET_002,"Sometimes you need your settlements close together, but a large city can utilize an area 11 hexes across, so spacing settlements too closely will restrict future growth.",時には、あなたは近く一緒にあなたの集落が必要ですが、大規模な都市はそう間隔集落があまりにも密接に将来の成長を制限する、11ヘクス間の領域を利用することができます。,
ADV_TITLE_NSET_003,Useful Resources,便利なリソース,
ADV_TEXT_NSET_003,Try to settle within three hexes of a Wild Game or Fish resource to boost food production. Settle near a Rhinoceros resource to increase income.,食糧生産を高めるためにワイルドゲームや魚資源の3ヘクス以内に解決するようにしてください。収入を増やすためにサイリソースの近くに落ち着きます。,
ADV_TITLE_Trade_001,Start Trade,取引を開始,
ADV_TEXT_Trade_001,"Trade is the key to building a powerful economy. Build Bazaars in settlements to begin trading between them, especially if they have useful resources to export.",展覧会は、強力な経済を構築するための鍵です。彼らは輸出に便利なリソースを持っている場合は特に、それらの間の取引を開始する集落でバザーをビルドします。,
ADV_TITLE_Trade_002,"Location, Location, Location",場所、場所、場所,
ADV_TEXT_Trade_002,The value of exports depends on the population of the settlement exported to. Therefore build bazaars in settlements with goods to export that are near to large population centers.,輸出額はに輸出決済の人口に依存します。したがって、大規模な人口密集地に近い輸出への商品との和解にバザーを構築します。,
ADV_TITLE_Trade_003,Too Isolated to Trade,展覧会にはあまりにも孤立,
ADV_TEXT_Trade_003,"This settlement is too far from others to trade with them, and too small to generate much internal trade. A bazaar here probably won't be useful.",この和解は遠すぎる他の人から彼らと取引すること、そして多くの内部取引を生成するには小さすぎます。ここでのバザーは、おそらく有用ではないだろう。,
ADV_TITLE_Trade_004,Caravansary,Caravansary,
ADV_TEXT_Trade_004,"Building a Caravansary here would allow the goods imported here, to be re-exported, increasing the value gained from them.",それらから得られた値を増やす、再輸出されるように、ここでは輸入品を可能にする、ここCaravansaryを構築します。,
ADV_TITLE_Trade_005,Quays,キーズ,
ADV_TEXT_Trade_005,"If you build a Quay here, you will be able to trade with other settlements that also have Quays. Trade by water is more efficient, and hence more profitable.",あなたがここに岸壁を構築する場合は、キーズを持っている他の集落と取引することができるようになります。水による展覧会は、より効率的であるため、より収益性の高いです。,
ADV_TITLE_Trade_006,Connect By Roads,道路によって接続します,
ADV_TEXT_Trade_006,Connecting settlements with roads increases the value of trade between them.,道路との和解を接続すると、それらの間の貿易額が増加します。,
ADV_TITLE_Trade_007,Trade Route Blocked,交易路は、ブロックされました,
ADV_TEXT_Trade_007,"One of the trade routes here is blocked. If it is blocked by an enemy, then military action will be needed to re-open it. If not, form a Fraternal Harmony Pact with the blocker to stop them blocking your trade.",ここでの貿易ルートの一つがブロックされています。それは敵によってブロックされている場合は、軍事行動は、それを再度開くことが必要になります。ない場合は、あなたの貿易を阻止するそれらを停止するブロッカーとの友愛ハーモニー協定を形成します。,
ADV_TITLE_Armies_001,Stack Needs Rest,スタックは休息が必要,スタックに休息が必要
ADV_TEXT_Armies_001,"The efficiency of this stack is low, due to recent fighting or events. If it stops moving and fighting for a few turns, it will recover. The orange bars at the bottom of the unit tiles indicate efficiency.",このスタックの効率は、最近の戦闘やイベントのために、低いです。それが移動し、数ターンのために戦って停止した場合、それが回復します。ユニットタイルの底部のオレンジ色のバーは効率を示します。,
ADV_TITLE_Armies_002,Unit Replenishment,ユニットの補充,
ADV_TEXT_Armies_002,The units in this stack are not at full strength. Move them to the territory of a friendly settlement to start replenishing. Units can replenish at a settlement that can recruit units from the same recruitment pool. The green bars on the unit card show strength.,このスタック内のユニットは完全な強さではありません。補充を開始するために友好和解の領土に移動します。ユニットは同じリクルートプールからユニットを募集することができ決済で補充することができます。ユニットカード上の緑色のバーは、強さを示しています。,
ADV_TITLE_Armies_003,Beware Revolt,反乱を用心,
ADV_TEXT_Armies_003,"This stack is composed of half or more of militia, tribal, or convict units, and may revolt and join the rebels if it stays in the vicinity of Peasant Rebel stacks.",このスタックは民兵、部族、あるいは囚人単位の半分以上で構成され、それが農民反乱スタックの近くに留まる場合反乱軍の反乱と参加することができます。,
ADV_TITLE_Armies_004,Stack Revolted,スタックの反乱,
ADV_TEXT_Armies_004,"Your stacks may revolt and join peasant rebel factions if half or more of the units are militia, tribal or convict types. Use other types of unit to deal with peasant rebels.",あなたのスタックは、反乱やユニットの半分以上が、民兵、部族や囚人のタイプであれば農民の反乱派閥に参加することができます。農民反乱軍に対処するためのユニットの他のタイプを使用してください。,
ADV_TITLE_Armies_005,Civil War,内戦,
ADV_TEXT_Armies_005,This stack is composed of half or more noble units. There is a danger that it will switch sides and join the rebels if it come close to any of their armies.,このスタックは半分以上の希のユニットで構成されています。それは彼らの軍隊のいずれかに近づくならば、それは側面を切り替えて反乱軍に参加するという危険性があります。,
ADV_TITLE_Armies_006,Stack Revolted,スタックの反乱,
ADV_TEXT_Armies_006,Your stacks may revolt and join the Noble Rebel faction if half or more of the units in them are nobles. Use other types of unit to attack Noble Rebels.,それらのユニットの半分以上が貴族であれば、あなたのスタックは、ノーブル反乱派が反乱して参加することができます。ノーブルの反乱軍を攻撃するユニットの他のタイプを使用してください。,
ADV_TITLE_Armies_007,Leader Won't Rebel,リーダーは反乱ません。,
ADV_TEXT_Armies_007,It's useful to know that a stack lead by your faction leader or heir will never rebel and join either noble or peasant rebels.,それはあなたの派閥のリーダーや相続人によってスタックリードは貴族や農民のいずれかの反政府勢力を反逆者と参加しないことを知っておくと便利です。,
ADV_TITLE_Armies_008,Winter Attrition,冬の消耗,
ADV_TEXT_Armies_008,"If a stack starts and ends its turn outside of friendly territory while in snow, its efficiency will be reduced.",スタックが起動して、雪の中で、その効率が低下しますしながら、優しい領土の外にそのターンを終了した場合。,
ADV_TITLE_Armies_009,Terrain Attrition,地形の損耗,
ADV_TEXT_Armies_009,If a stack starts and ends its turn outside of friendly territory while in desert its efficiency will be reduced.,スタックが起動し、砂漠にいる間にやさしい領土の外にそのターンを終了した場合、その効率が低下します。,
ADV_TITLE_DIS_001,Reduce Disaster Effects,災害の影響を軽減,
ADV_TEXT_DIS_001,The effects of this and other disasters can be reduced by advancements on the Technology and Culture screen.,このおよびその他の災害の影響は、技術と文化、画面上の進歩により減少させることができます。,
ADV_TITLE_DIS_002,Self Criticism,自己批判,
ADV_TEXT_DIS_002,The unrest effects of this disaster can be cancelled by issuing an Edict of Self Criticism.,この災害の不安の影響は、自己批判の勅令を発行することによって相殺することができます。,
ADV_TITLE_ED_001,Remember Edicts,布告を忘れないでください,
ADV_TEXT_ED_001,"Remember to check out the Edicts screen from time to time. As your technology and culture advances, you will gain access to more edicts that can reduce unrest, boost your economy, and strengthen your military.",随時布告画面をチェックアウトすることを忘れないでください。あなたの技術と文化の進歩として、あなたは、不安を減らし、あなたの経済を後押しし、あなたの軍を強化することができ、より布告にアクセスできるようになります。,
ADV_TITLE_FIN_001,Finances low,低財政,
ADV_TEXT_FIN_001,"Your treasury is very low, and you are losing money each turn. You should consider disbanding some units or buildings to save on upkeep.",あなたの自己は非常に低く、そしてあなたは毎ターン、お金を失っています。あなたは維持費を節約するためにいくつかのユニットや建物を解体検討すべきです。,
ADV_TITLE_FIN_002,Bankrupt,破産,
ADV_TEXT_FIN_002,"Your treasury is negative, and you are losing money each turn. Since you can't recruit new units if you have no money, your empire risks complete collapse. Disband some units or buildings to save money.",あなたの宝庫は負であり、そしてあなたは毎ターン、お金を失っています。あなたはお金がない場合は、新しいユニットを雇用することはできませんので、あなたの帝国は完全に崩壊する危険。お金を節約するためにいくつかのユニットや建物を解散。,
ADV_TITLE_FIN_003,Building Upkeep,建物の維持費,
ADV_TEXT_FIN_003,"Most buildings have an upkeep cost shown by the sack of money in the top right of the construction panel. Try to only build what you need, and don't try to build every type of building in each settlement.",ほとんどの建物は建設パネルの右上にあるお金の袋で示さ維持費のコストを持っています。必要なものだけを構築し、各集落における建物のすべての種類を構築しようとしないようにしてください。,
ADV_TITLE_FIN_004,Building Upkeep High,ビルアップキープハイ,
ADV_TEXT_FIN_004,"Your building upkeep is very high. You may have built more than you need, or than your economy can support at this time. ",あなたの建物の維持費が非常に高いです。あなたが必要以上、またはあなたの経済は、この時点でサポートできるよりもを内蔵している可能性があります。,
ADV_TITLE_FIN_005,Militia and Nobles,民兵と貴族,
ADV_TEXT_FIN_005,"Militia and noble units have no cost to recruit, so it may be better to disband some units and raise them again when needed, rather than pay expensive maintenance every turn.",民兵と高貴なユニットが募集する一切のコストを持っていないので、いくつかのユニットを解散し、必要なときにそれらを再び上げるのではなく、高価なメンテナンス毎ターンを支払う方が良いかもしれません。,
ADV_TITLE_Units_001,Formations and Plans,フォーメーションと計画,
ADV_TEXT_Units_001,Check out the Formation and Battle Plan buttons underneath the unit cards. These let you arrange your units and determine their tactics in battle.,ユニットカードの下に形成との戦い計画のボタンをチェックしてください。これらはあなたがあなたのユニットを配置し、戦いで戦術を決定させます。,
ADV_TITLE_Units_002,Characters in Battle,バトルの文字,
ADV_TEXT_Units_002,Characters with high Qi (Energy) ratings boost the fighting power of troops in battle. Characters with high Ren (Virtue) boost their morale making them fight longer. Attaching a character to an army can greatly increase its fighting power.,高チー（エネルギー）定格を持つキャラクターは戦闘で軍の戦闘力を高めます。ハイレン（徳）を持つ文字は、彼らが長く戦う作る彼らの士気を高めます。軍隊に文字を取り付けることは非常にその戦闘力を向上させることができます。,
ADV_TITLE_Units_003,Chariots and Cavalry,戦車と騎兵,
ADV_TEXT_Units_003,"Cavalry and chariot units fight badly in difficult terrain such as forests, marshes and steep slopes. Prefer to use infantry in such terrain. If attacking from a clear hex, consider using a Defend or Reserve battle plan to prevent your cavalry or chariots attacking enemy in unfavorable places.",騎兵と戦車ユニットは、森林、湿地や急斜面など困難な地形でひどく戦います。このような地形で歩兵を使用することを好みます。明確な六角形から攻撃した場合、あなたの騎兵や不利な場所で敵を攻撃戦車を防ぐために守るか、ご予約の戦い計画を使用することを検討してください。,
ADV_TITLE_Units_004,Long Spear Units,ロングスピアユニット,
ADV_TEXT_Units_004,"Units with long weapons fight badly in forests. Prefer to use infantry with shorter weapons in such terrain. If attacking from a clear hex, consider using a Defend or Reserve battle plan to prevent them attacking enemy in unfavorable places.",長い武器を持つユニットは、森林でひどく戦います。このような地形での短い武器で歩兵を使用することを好みます。明確な六角形から攻撃した場合、不利な場所で敵を攻撃し、それらを防ぐために守るか、ご予約の戦い計画を使用することを検討してください。,
ADV_TITLE_Units_005,Friendly Fire,フレンドリー・ファイア,
ADV_TEXT_Units_005,"Missiles fired by your troops can kill your own men as well as the enemy. Archers can usually fire over other infantry ok, but you probably want to put crossbows, guns and rockets in the front line.",あなたの軍隊で発射ミサイルは、あなた自身の男性だけでなく、敵を殺すことができます。射手は、通常、他の歩兵の上に[OK]を発射することができますが、あなたはおそらく、フロントラインにクロスボウ、銃やロケットを載せていきたいと思います。,
ADV_TITLE_Siege_001,Losing a Settlement,決済を失います,
ADV_TEXT_Siege_001,"A settlement is lost when an enemy reaches an undefended breach or gate. Therefore you need to have enough defending units to cover all of these, bearing in mind that an attack will likely destroy more walls and gates depending on their force.",敵は無防備違反またはゲートに到達したときに決済が失われます。したがって、あなたは攻撃の可能性が高い以上の壁とその力に応じて、ゲートを破壊する念頭に、これらのすべてをカバーするのに十分な防御ユニットを持っている必要があります。,
ADV_TITLE_Siege_002,Unwalled Settlement,Unwalled決済,
